Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
2-Dec-20,Kokuyo Camlin,64.85,62.5,2.35,3.76,1017000,135000,6.487
2-Dec-20,Kopran,135.15,128.75,6.4,4.97,2025000,581000,2.4843
2-Dec-20,Kridhan Infra Ltd.,2.85,2.65,0.2,7.55,234000,168000,0.3931
2-Dec-20,Kuantum Papers Ltd.,44.55,43.1,1.45,3.36,17428,6374,1.7342
2-Dec-20,Lakshmi Finance & Industrial Corporation Ltd.,62.25,59.85,2.4,4.01,7130,236,29.2119
2-Dec-20,Lakshmi Machine Works Ltd.,4319.85,4195.95,123.9,2.95,18638,13027,0.4307
2-Dec-20,Lakshmi Precision Screws,3.05,2.95,0.1,3.39,442,143,2.0909
2-Dec-20,Lakshmi Vilas Bank Ltd.,7.65,7.3,0.35,4.79,43827000,1515000,27.9215
2-Dec-20,Lambodhara Textile,31,29.5,1.5,5.08,26130,8083,2.2327
2-Dec-20,Landmark Property Development Company,1.45,1.4,0.05,3.57,8092,4022,1.0119
2-Dec-20,Lasa Supergenerics Ltd.,87.45,83.15,4.3,5.17,471000,216000,1.1778
2-Dec-20,Laxmi Cotspin Ltd.,10.25,9,1.25,13.89,18000,6000,2
2-Dec-20,LIC MF - LIC MF ETF - Nifty 100,133.27,131.45,1.82,1.38,923,92,9.0326
2-Dec-20,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SE,468,460.94,7.06,1.53,80,38,1.1053
2-Dec-20,LT Foods Ltd.,56.8,53.8,3,5.58,6804000,2694000,1.5254
2-Dec-20,Madhav Copper Ltd.,71.95,61,10.95,17.95,18434,2927,5.2979
2-Dec-20,Madhav Marbles and Granites,29.4,28.35,1.05,3.7,16261,6692,1.4299
2-Dec-20,Madhya Pradesh Today Media Ltd.,11.3,10.8,0.5,4.63,6000,4000,0.5
2-Dec-20,Maharashtra Seamless Ltd.,300.5,274.6,25.9,9.43,683000,335000,1.0368
2-Dec-20,Mahindra CIE Automotive Ltd.,163.2,159.35,3.85,2.42,297000,153000,0.9323
2-Dec-20,Maithan Alloys,580.1,564.15,15.95,2.83,101000,52315,0.9327
2-Dec-20,Mangalam Timber Products Ltd.,9.6,9.2,0.4,4.35,8170,2473,2.3037
2-Dec-20,Mangalore Chemicals & Fertilizers Ltd.,42.75,41.4,1.35,3.26,10179000,3669000,1.7738
2-Dec-20,Mangalore Refinery & Petrochemicals Ltd.,33.45,31.95,1.5,4.69,9190000,7712000,0.1916
2-Dec-20,Marathon Nextgen Realty Ltd.,79.6,77.3,2.3,2.98,25000,18152,0.3773
2-Dec-20,Marine Electricals (India) Ltd.,197.1,191.5,5.6,2.92,158000,22000,6.1999
2-Dec-20,Mastek Ltd.,991.15,950.5,40.65,4.28,151000,94801,0.6001
2-Dec-20,McDowell Holdings,25.9,24.95,0.95,3.81,33211,23591,0.4078
2-Dec-20,McLeod Russel India Ltd.,25.85,24.75,1.1,4.44,1711000,822000,1.0822
2-Dec-20,Megasoft,8.55,8.4,0.15,1.79,75269,16195,3.6477
2-Dec-20,Meghmani Organics Ltd.,84,80.65,3.35,4.15,3104000,1134000,1.7364
2-Dec-20,Mirc Electronics Ltd.,8.7,8.4,0.3,3.57,269000,222000,0.2131
2-Dec-20,MMP Industries Ltd.,84.75,83.55,1.2,1.44,17469,7726,1.2611
2-Dec-20,Modi Rubber Ltd.,33.05,31.5,1.55,4.92,813,664,0.2244
2-Dec-20,Mohota Industries Ltd.,8.15,8,0.15,1.88,306000,3368,89.9804
2-Dec-20,MOIL Ltd.,134.25,126.65,7.6,6,2941000,770000,2.8168
2-Dec-20,Motilal Oswal Financial Services Ltd.,610.3,604.05,6.25,1.03,139000,72054,0.9335
2-Dec-20,MSTC Ltd.,162.1,159.4,2.7,1.69,814000,336000,1.4191
2-Dec-20,MT Educare,11.55,9.65,1.9,19.69,308000,37063,7.3208
2-Dec-20,Mukta Arts Ltd,33.05,30.05,3,9.98,136000,90326,0.5102
2-Dec-20,Murudeshwar Ceramics,19.7,18.5,1.2,6.49,837000,328000,1.5496
2-Dec-20,NACL Industries Ltd.,41.55,39.1,2.45,6.27,142000,77121,0.8485
2-Dec-20,Nahar Capital and Financial Services,72.75,70.55,2.2,3.12,15765,8055,0.9572
2-Dec-20,Nahar Spinning Mills Ltd.,49.8,47.45,2.35,4.95,87662,38605,1.2707
2-Dec-20,National Aluminium Co. Ltd.,41.5,39.75,1.75,4.4,57977000,20280000,1.8587
2-Dec-20,Nava Bharat Ventures Ltd.,55.45,54.15,1.3,2.4,1717000,818000,1.0995
2-Dec-20,NCC Ltd.,46,44.75,1.25,2.79,13513000,8333000,0.6216
2-Dec-20,Nectar Lifesciences,21.25,18.4,2.85,15.49,2127000,155000,12.6676
2-Dec-20,NELCO Ltd.,203.85,188.65,15.2,8.06,835000,42510,18.6433
2-Dec-20,Neogen Chemicals Ltd.,685.9,623.55,62.35,10,83072,39187,1.1199
2-Dec-20,NETF Ltd.,157.13,140.74,16.39,11.65,2188,959,1.2815
2-Dec-20,Neueon Towers Ltd.,0.95,0.9,0.05,5.56,50624,17252,1.9344
2-Dec-20,Niraj Cement Structurals Ltd.,49.6,48.25,1.35,2.8,7874,4339,0.8147
2-Dec-20,NMDC Ltd.,103.2,99.25,3.95,3.98,25852000,10326000,1.5034
2-Dec-20,NOCIL Ltd.,144.5,139.85,4.65,3.32,2401000,658000,2.649
2-Dec-20,NRB Industrial Bearings,9.3,8.9,0.4,4.49,10220,8176,0.25
2-Dec-20,Oberoi Realty Ltd.,502.1,480.7,21.4,4.45,1562000,497000,2.142
2-Dec-20,Oil & Natural Gas Corporation Ltd.,84.85,81.55,3.3,4.05,52652000,42923000,0.2267
2-Dec-20,Omkar Speciality Chemicals,8.05,7.7,0.35,4.55,63955,22684,1.8194
2-Dec-20,Orbit Exports,69.65,66.05,3.6,5.45,158000,26858,4.8845
2-Dec-20,Orient Refractories,217.2,211.65,5.55,2.62,49216,35209,0.3978
2-Dec-20,Oriental Hotels Ltd.,23.7,22.75,0.95,4.18,86108,59572,0.4454
2-Dec-20,Ortin Laboratories Ltd.,24.4,23.25,1.15,4.95,84581,55198,0.5323
2-Dec-20,Palash Securities Ltd.,37.9,36.1,1.8,4.99,5453,3674,0.4842
2-Dec-20,Panacea Biotec Ltd.,245.25,206,39.25,19.05,2133000,199000,9.6927
2-Dec-20,Patel Integrated Logistics,27.6,26.5,1.1,4.15,70726,40481,0.7471
2-Dec-20,PC Jeweller Ltd.,16.75,15.55,1.2,7.72,5980000,2101000,1.8463
2-Dec-20,Peninsula Land Ltd.,5.35,5.1,0.25,4.9,540000,66791,7.089
2-Dec-20,Pennar Industries Ltd.,20.9,18.35,2.55,13.9,2109000,382000,4.5129
2-Dec-20,Pfizer Ltd.,5227.25,5107.65,119.6,2.34,1029000,40414,24.4793
2-Dec-20,PG Electroplast,153.3,146.35,6.95,4.75,67623,22716,1.9769
2-Dec-20,Phillips Carbon Black Ltd.,174.25,170.1,4.15,2.44,1637000,1134000,0.4434
2-Dec-20,Phoenix Mills Ltd.,767.95,689.25,78.7,11.42,2577000,232000,10.0823
2-Dec-20,Pidilite Industries Ltd.,1599.75,1551.05,48.7,3.14,1175000,642000,0.8305
2-Dec-20,Pil Italica Lifestyle Ltd.,8.35,8.15,0.2,2.45,403000,88101,3.5756
2-Dec-20,Pioneer Embroideries,27.55,27.15,0.4,1.47,86660,72251,0.1994
2-Dec-20,Plastiblends India,266.4,259.7,6.7,2.58,74431,18667,2.9873
2-Dec-20,PNB Gilts Ltd.,43.2,41.8,1.4,3.35,2640000,266000,8.912
2-Dec-20,Pokarna,151.75,138.85,12.9,9.29,318000,77298,3.1247
2-Dec-20,Prakash Industries Ltd.,51.25,47.8,3.45,7.22,2826000,979000,1.8842
2-Dec-20,Prakash Pipes Ltd.,87.8,79.7,8.1,10.16,432000,153000,1.8193
2-Dec-20,Precision Wires India,169.35,164.35,5,3.04,283000,102000,1.7646
2-Dec-20,Prime Focus Limited,38.75,38.15,0.6,1.57,77326,33374,1.317
2-Dec-20,Prince Pipes & Fittings Ltd.,272.7,264.8,7.9,2.98,184000,115000,0.6028
2-Dec-20,Pritish Nandy Communications Ltd.,15.95,15.1,0.85,5.63,15256,11695,0.3045
2-Dec-20,Quantum Gold Fund -Exchange Traded Fund (ETF),2126.15,2101.05,25.1,1.19,1871,1512,0.2374
2-Dec-20,Rain Industries Ltd.,122.45,116.1,6.35,5.47,4268000,1207000,2.5345
2-Dec-20,Rajshree Polypack Ltd.,92,90,2,2.22,5000,2000,1.5
2-Dec-20,Ravi Kumar Distilleries,6.45,6.3,0.15,2.38,11915,7879,0.5122
2-Dec-20,Reliance Communications Ltd.,1.6,1.55,0.05,3.23,11251000,9680000,0.1623
2-Dec-20,Remsons Industries,102.35,93.05,9.3,9.99,11959,1901,5.2909
2-Dec-20,Rico Auto Industries Ltd.,33.3,32.75,0.55,1.68,727000,428000,0.6977
2-Dec-20,Rohit Ferro Tech,0.95,0.9,0.05,5.56,16177,3508,3.6115
2-Dec-20,Royal Orchid Hotels,71.1,69.25,1.85,2.67,54595,44337,0.2314
2-Dec-20,Ruchira Papers,58.25,55.25,3,5.43,216000,131000,0.6428
2-Dec-20,Rudrabhishek Enterprises Ltd.,96.3,91.75,4.55,4.96,30000,9000,2.3333
2-Dec-20,SAB Events & Governance Now Media Ltd.,1.45,1.4,0.05,3.57,10819,1213,7.9192
2-Dec-20,Sakar Healthcare Ltd.,87.7,83.05,4.65,5.6,30953,24234,0.2773
2-Dec-20,Saksoft,334.65,316.25,18.4,5.82,62511,16025,2.9008
2-Dec-20,SAL Steel,3,2.95,0.05,1.69,114000,32791,2.5062
2-Dec-20,Sanghvi Forging and Engineering,22.95,22.6,0.35,1.55,10060,3686,1.7292
2-Dec-20,Sanginita Chemicals Ltd.,28.45,27.15,1.3,4.79,429000,64614,5.6461
2-Dec-20,Sarda Energy and Minerals,328.35,308.55,19.8,6.42,262000,64753,3.0568
2-Dec-20,Sarla Performance Fibers,19.9,19.05,0.85,4.46,302000,169000,0.7873
2-Dec-20,Sarveshwar Foods Ltd.,13.05,12.45,0.6,4.82,9600,6400,0.5
2-Dec-20,SBI Life Insurance Company Ltd.,875.55,851.35,24.2,2.84,2097000,1027000,1.0412
2-Dec-20,SEAMEC Ltd.,431.75,404.85,26.9,6.64,192000,19767,8.7314
2-Dec-20,Sequent Scientific Ltd.,161.85,158.75,3.1,1.95,1288000,962000,0.3387
2-Dec-20,SGBOCT26 Ltd.,4799,4751.01,47.99,1.01,17,10,0.7
2-Dec-20,Shah Alloys,9.35,8.5,0.85,10,16763,12026,0.3939
2-Dec-20,Shanti Overseas (India) Ltd.,23,22.55,0.45,2,67500,45000,0.5
2-Dec-20,Shemaroo Entertainment,65.3,62.9,2.4,3.82,241000,193000,0.2475
2-Dec-20,Shirpur Gold Refinery,8,7.65,0.35,4.58,29961,21205,0.4129
2-Dec-20,Shiva Mills Ltd.,27,26.7,0.3,1.12,10306,5551,0.8566
2-Dec-20,Shiva Texyarn Ltd.,86,81.95,4.05,4.94,11337,609,17.6158
2-Dec-20,Shree Pushkar Chemicals & Fertilisers Ltd.,104.45,102.05,2.4,2.35,1031000,308000,2.3474
2-Dec-20,Shriram Pistons & Rings Ltd.,620.5,604.7,15.8,2.61,865,584,0.4812
2-Dec-20,Shyam Century Ferrous Ltd.,4.1,4,0.1,2.5,127000,92059,0.3892
2-Dec-20,Smartlink Holdings Ltd.,87.75,73.15,14.6,19.96,123000,9619,11.8016
2-Dec-20,SMS Lifesciences India Ltd.,598.95,580.75,18.2,3.13,8964,2472,2.6262
2-Dec-20,Sobha Ltd.,320.85,316.85,4,1.26,730000,391000,0.8645
2-Dec-20,Soma Textiles and Industries,3.45,3.25,0.2,6.15,55362,16554,2.3443
2-Dec-20,Southern Petrochemicals Industries Corporation Ltd.,22.95,19.85,3.1,15.62,5804000,133000,42.5558
2-Dec-20,Sovereign Gold Bonds 2.50% Dec 2027 SR-VII 2019-20 Ltd.,4825,4752,73,1.54,33,7,3.7143
2-Dec-20,Sovereign Gold Bonds 2.50% July 2027 Sr - II Ltd.,4899.99,4839,60.99,1.26,10,1,9
2-Dec-20,Sovereign Gold Bonds 2.75% MAR 2024 Tr-III Ltd.,4874.5,4800,74.5,1.55,88,27,2.2593
2-Dec-20,Spentex Industries,0.6,0.55,0.05,9.09,13266,8169,0.6239
2-Dec-20,Spicejet Ltd.,76.9,74.05,2.85,3.85,12277000,8439000,0.4547
2-Dec-20,SPL Industries,30.15,29.5,0.65,2.2,91137,17734,4.1391
2-Dec-20,SRF Ltd.,5212.75,5098,114.75,2.25,208000,116000,0.7852
2-Dec-20,Standard Industries Ltd.,9.15,8.75,0.4,4.57,44106,22508,0.9596
2-Dec-20,Steel Authority of India Ltd.,51.7,49.95,1.75,3.5,71746000,46440000,0.5449
2-Dec-20,Sterling And Wilson Solar Ltd.,246.25,227.25,19,8.36,1789000,447000,3.0033
2-Dec-20,STL Global,6.55,6.45,0.1,1.55,69483,9529,6.2917
2-Dec-20,Subex Ltd.,16.95,16.35,0.6,3.67,15329000,11657000,0.315
2-Dec-20,Subros,297.9,291.45,6.45,2.21,67882,49120,0.382
2-Dec-20,Sumeet Industries,2,1.95,0.05,2.56,77998,57559,0.3551
2-Dec-20,Summit Securities,488.05,482.15,5.9,1.22,4111,3063,0.3421
2-Dec-20,Sunflag Iron & Steel Company Ltd,60.2,55.7,4.5,8.08,3318000,334000,8.9083
2-Dec-20,Suprajit Engineering,199.45,194.65,4.8,2.47,209000,109000,0.9111
2-Dec-20,Supreme Petrochem Ltd.,345.1,320.7,24.4,7.61,200000,90999,1.2052
2-Dec-20,Surya Roshni Ltd.,265.15,260.2,4.95,1.9,227000,56773,3.0031
2-Dec-20,Suryalakshmi Cotton Mills,19.4,18.5,0.9,4.86,11456,2395,3.7833
2-Dec-20,Sutlej Textiles and Industries,29.5,29.2,0.3,1.03,41028,16920,1.4248
2-Dec-20,Swelect Energy Systems,164.9,157.2,7.7,4.9,44611,36772,0.2132
2-Dec-20,Tamilnadu Petroproducts Ltd.,42.2,40.45,1.75,4.33,1882000,283000,5.6406
2-Dec-20,Tantia Constructions,1.35,1.3,0.05,3.85,4011,100,39.11
2-Dec-20,Tata Chemicals Ltd.,427.35,404.95,22.4,5.53,12177000,5161000,1.3594
2-Dec-20,Tata Communications Ltd.,1051.05,1038.95,12.1,1.16,146000,102000,0.4333
2-Dec-20,Tata Investment Corporation Ltd.,956.95,945.75,11.2,1.18,52650,28617,0.8398
2-Dec-20,Tata Motors Ltd.,183.6,179.75,3.85,2.14,88107000,48881000,0.8025
2-Dec-20,Tata Steel Bsl Ltd.,37.1,36,1.1,3.06,6167000,4308000,0.4315
2-Dec-20,Tata Steel Long Products Ltd.,553.7,526.05,27.65,5.26,465000,223000,1.0793
2-Dec-20,Tata Steel Ltd.,604.35,585.8,18.55,3.17,24997000,14739000,0.696
2-Dec-20,TCI Developers,315,306.4,8.6,2.81,899,442,1.0339
2-Dec-20,Techindia Nirman Ltd.,2.75,2.7,0.05,1.85,1533,505,2.0356
2-Dec-20,Technofab Engineering,9.25,8.85,0.4,4.52,6730,2265,1.9713
2-Dec-20,The Paper Products Limited,7.1,6.75,0.35,5.19,423000,153000,1.7629
2-Dec-20,Themis Medicare,361.2,353.8,7.4,2.09,20261,6907,1.9334
2-Dec-20,Thirumalai Chemicals,104.55,99.3,5.25,5.29,1695000,1452000,0.1676
2-Dec-20,Thomas Scott India,5.8,5.55,0.25,4.5,500,200,1.5
2-Dec-20,Tilak Nagar Industries Ltd.,18.35,17.8,0.55,3.09,186000,86791,1.1533
2-Dec-20,Times Guaranty,29.7,28.6,1.1,3.85,10464,4924,1.1251
2-Dec-20,Torrent Pharmaceuticals Ltd.,2690.05,2653.6,36.45,1.37,358000,279000,0.2801
2-Dec-20,Tourism Finance Corporation of India Ltd.,43.95,42.65,1.3,3.05,1538000,1218000,0.2627
2-Dec-20,Transformers and Rectifiers India,15.8,13.2,2.6,19.7,2337000,1512000,0.5453
2-Dec-20,TRIDENT Ltd.,8.2,7.95,0.25,3.14,16704000,7870000,1.1222
2-Dec-20,Triveni Turbine Ltd.,79.45,76.85,2.6,3.38,491000,124000,2.9616
2-Dec-20,Tube Investments of India Ltd.,828.9,809.8,19.1,2.36,1300000,156000,7.2853
2-Dec-20,TV Today Network Ltd.,217.9,207.15,10.75,5.19,287000,201000,0.4236
2-Dec-20,TV Vision Ltd.,1.3,1.25,0.05,4,615,400,0.5375
2-Dec-20,Ultra Wiring Connectivity Systems Ltd.,26.1,25.7,0.4,1.56,8000,4000,1
2-Dec-20,Uniphos Enterprises,61.85,61.1,0.75,1.23,9013,5123,0.7593
2-Dec-20,Unitech Ltd.,1.5,1.45,0.05,3.45,2442000,1306000,0.8691
2-Dec-20,United Drilling Tools Ltd.,279.25,260,19.25,7.4,80183,13176,5.0855
2-Dec-20,Urja Global Ltd.,3.8,3.65,0.15,4.11,979000,599000,0.6333
2-Dec-20,Ushanti Colour Chem Ltd.,34,30,4,13.33,8000,2000,3
2-Dec-20,VA Tech Wabag Limited,207.15,196.3,10.85,5.53,1177000,375000,2.1363
2-Dec-20,Vakrangee Ltd.,51.2,42.7,8.5,19.91,23787000,13355000,0.7811
2-Dec-20,Vaswani Industries,4.55,4.45,0.1,2.25,17504,5005,2.4973
2-Dec-20,Vedanta Ltd,124.15,121.55,2.6,2.14,39093000,17531000,1.2299
2-Dec-20,Venus Remedies Ltd,140.1,136.3,3.8,2.79,74362,40289,0.8457
2-Dec-20,Veto Switchgears & Cables Ltd.,74.6,67.85,6.75,9.95,335000,45233,6.4101
2-Dec-20,V-Guard Industries,192.9,189.4,3.5,1.85,1524000,1148000,0.3272
2-Dec-20,Vikas Proppant & Granite Ltd.,2.7,2.6,0.1,3.85,2365000,1871000,0.2637
2-Dec-20,Vikas WSP Ltd.,4.8,4.4,0.4,9.09,725000,363000,0.9951
2-Dec-20,Vimta Labs,147.7,141.85,5.85,4.12,112000,52880,1.1315
2-Dec-20,Vindhya Telelink,824.2,795.5,28.7,3.61,79526,32322,1.4604
2-Dec-20,Vinyl Chemicals (India),109.3,104.2,5.1,4.89,248000,93187,1.6658
2-Dec-20,Vipul Ltd.,17,15.85,1.15,7.26,46924,29659,0.5821
2-Dec-20,Visa Steel Ltd.,6.1,5.85,0.25,4.27,28887,14512,0.9906
2-Dec-20,VLS Finance,72.5,71.15,1.35,1.9,172000,139000,0.2345
2-Dec-20,Websol Energy System Ltd.,24.8,23.65,1.15,4.86,153000,122000,0.2514
2-Dec-20,Welspun Enterprises Ltd.,83.55,82.7,0.85,1.03,248000,113000,1.1803
2-Dec-20,Windsor Machines,16.05,15.3,0.75,4.9,75725,38349,0.9746
2-Dec-20,Wonderla Holidays Ltd.,210.55,194.65,15.9,8.17,613000,170000,2.6055
2-Dec-20,Zuari Agro Chemicals,94.15,88.45,5.7,6.44,215000,41511,4.187
2-Dec-20,Zuari Global,59.05,57.4,1.65,2.87,133000,39197,2.4003
12/4/20,20 Microns,36.35,32.8,3.55,10.82,818000,71488,10.4555
12/4/20,A2Z Infra Engineering,4.85,4.65,0.2,4.3,936000,315000,1.9668
12/4/20,ABSLNN50ET Ltd.,303.01,295,8.01,2.72,429,105,3.0857
12/4/20,Adani Power Limited,59.6,54.15,5.45,10.06,131 M,64633000,1.0404
12/4/20,Airo Lam Ltd.,27.55,26.5,1.05,3.96,6000,3000,1
12/4/20,Ajanta Pharmaceuticals Ltd.,1595.3,1557.8,37.5,2.41,159000,93160,0.7174
12/4/20,Ajmera Realty & Infra India Ltd.,119.35,117.55,1.8,1.53,537000,397000,0.3543
12/4/20,Aksh Optifibre Ltd.,7,6.85,0.15,2.19,519000,369000,0.4041
12/4/20,AksharChem (India) Ltd.,226.95,220.45,6.5,2.95,50976,17926,1.8437
12/4/20,Akzo Nobel India Ltd.,2252.25,2176.2,76.05,3.49,42481,8663,3.9037
12/4/20,Allcargo Logistics Ltd.,128.85,127.15,1.7,1.34,369000,229000,0.6143
12/4/20,Ambika Cotton Mills,811.2,747.5,63.7,8.52,218000,75146,1.905
12/4/20,Anant Raj Ltd.,27.3,26.95,0.35,1.3,933000,602000,0.5492
12/4/20,ANI Integrated Services Ltd.,21.5,20.5,1,4.88,7200,4800,0.5
12/4/20,APL Apollo Tubes Ltd.,3708.6,3545.8,162.8,4.59,219000,64304,2.4101
12/4/20,Archidply Industries,30.55,28.7,1.85,6.45,178000,131000,0.3607
12/4/20,Arcotech Ltd.,2,1.95,0.05,2.56,69620,56618,0.2296
12/4/20,Artemis Medicare Services Ltd.,194.65,185.1,9.55,5.16,8538,4584,0.8626
12/4/20,Arvind Fashions Ltd.,136.75,134,2.75,2.05,996000,499000,0.9962
12/4/20,Asahi India Glass Ltd.,273.85,254.4,19.45,7.65,385000,95948,3.0219
12/4/20,Ashiana Housing Ltd.,97.85,90.8,7.05,7.76,258000,85962,2.0114
12/4/20,Ashoka Buildcon Ltd.,86.65,83.25,3.4,4.08,3220000,2217000,0.4524
12/4/20,Asian Hotels (East),150.55,145.1,5.45,3.76,6796,4823,0.4091
12/4/20,Astec Lifesciences Ltd.,976.25,961.1,15.15,1.58,114000,76021,0.5096
12/4/20,Astral Poly Technik Ltd.,1515.35,1469.7,45.65,3.11,229000,102000,1.241
12/4/20,AXISCADES Technologies Ltd.,54.4,51.85,2.55,4.92,318000,53580,4.9482
12/4/20,AYM Syntex Ltd.,44.95,44.3,0.65,1.47,28898,16011,0.8049
12/4/20,Bafna Pharmaceuticals Ltd.,147.25,140.25,7,4.99,3674,2085,0.7621
12/4/20,Balaji Telefilms Ltd.,67.7,62.7,5,7.97,1211000,248000,3.8745
12/4/20,Bandhan Bank Ltd.,393.4,376.6,16.8,4.46,10228000,6159000,0.6605
12/4/20,Bank of Maharashtra.,14.2,13.05,1.15,8.81,12919000,7930000,0.6292
12/4/20,Bannari Amman Sugars Ltd.,1406.7,1385.8,20.9,1.51,1857,1355,0.3705
12/4/20,Banswara Syntex,87.6,84.75,2.85,3.36,63899,20998,2.0431
12/4/20,Bata India Ltd.,1563.85,1539.9,23.95,1.56,584000,453000,0.291
12/4/20,BF Investment,293.95,287.6,6.35,2.21,87823,66730,0.3161
12/4/20,BF Utilities Ltd.,272.5,269.6,2.9,1.08,898000,380000,1.3632
12/4/20,BGR Energy Systems Ltd,44.45,42,2.45,5.83,1369000,508000,1.6923
12/4/20,Bhagyanagar Properties Ltd.,23.4,23,0.4,1.74,80142,5132,14.6161
12/4/20,Bharat Forge Ltd.,551.95,539.4,12.55,2.33,8988000,5331000,0.686
12/4/20,Bharat Rasayan,9539.35,9304.1,235.25,2.53,6255,3242,0.9294
12/4/20,Bharti Airtel Ltd.,493.75,479.9,13.85,2.89,31039000,19723000,0.5737
12/4/20,Bigbloc Construction Ltd.,109,103.85,5.15,4.96,5367,2918,0.8393
12/4/20,Biocon Ltd.,442.65,433.9,8.75,2.02,6358000,2909000,1.1857
12/4/20,BLB Ltd.,5,4.9,0.1,2.04,11540,10009,0.153
12/4/20,BLS International Services Ltd.,94.5,90.95,3.55,3.9,381000,316000,0.2053
12/4/20,Bodal Chemicals Ltd.,76.45,72.4,4.05,5.59,2326000,361000,5.4276
12/4/20,Bombay Dyeing & Manufacturing Co. Ltd.,73.45,72,1.45,2.01,5366000,3709000,0.4469
12/4/20,BSE Ltd.,569.1,557.3,11.8,2.12,828000,471000,0.7582
12/4/20,Burnpur Cement,1.8,1.75,0.05,2.86,39382,10421,2.7791
12/4/20,C & C Constructions,4.05,3.9,0.15,3.85,4133,3454,0.1966
12/4/20,Cadila Healthcare Ltd.,471.05,462.95,8.1,1.75,7398000,4514000,0.6388
12/4/20,Cadsys (India) Ltd.,20.5,19.55,0.95,4.86,4000,2000,1
12/4/20,Cambridge Technology Enterprises,39.4,37.7,1.7,4.51,47184,26342,0.7912
12/4/20,Camlin Fine Sciences,123.4,117.9,5.5,4.66,2965000,892000,2.3228
12/4/20,Canara Bank,111.2,109.95,1.25,1.14,46735000,37656000,0.2411
12/4/20,Capital Trust Ltd.,85.2,71,14.2,20,73302,11924,5.1474
12/4/20,Caplin Point Laboratories Ltd.,492.45,482.6,9.85,2.04,174000,108000,0.6126
12/4/20,Central Depository Services (India) Ltd.,547.05,526.05,21,3.99,5331000,3913000,0.3625
12/4/20,Century Extrusions,4.85,4.5,0.35,7.78,1039000,820000,0.2667
12/4/20,CG Power and Industrial Solutions Ltd.,50,47.65,2.35,4.93,36073000,399000,89.2187
12/4/20,Chalet Hotels Ltd.,181.45,167.6,13.85,8.26,1790000,925000,0.9353
12/4/20,Chemcon Speciality Chemicals Ltd.,445.45,422.9,22.55,5.33,1480000,231000,5.4058
12/4/20,Chemfab Alkalis Ltd.,140.9,138.25,2.65,1.92,19217,12170,0.579
12/4/20,Cimmco,21.8,21.35,0.45,2.11,51580,9858,4.2323
12/4/20,Compucom Software,7.75,7.5,0.25,3.33,118000,43632,1.7087
12/4/20,Computer Age Management Services Ltd.,1463.05,1445.6,17.45,1.21,77127,48322,0.5961
12/4/20,Cox and Kings (India) Ltd.,1.45,1.4,0.05,3.57,811000,300000,1.7002
12/4/20,Crest Ventures,97.9,93.05,4.85,5.21,124000,13168,8.4602
12/4/20,Cupid Ltd.,250.95,236.35,14.6,6.18,612000,128000,3.7545
12/4/20,Damodar Industries,27.35,26.15,1.2,4.59,91138,28601,2.1865
12/4/20,DCM,22.5,20.95,1.55,7.4,115000,31661,2.6531
12/4/20,DCM Nouvelle Ltd.,29.2,28.8,0.4,1.39,40315,21024,0.9176
12/4/20,DCW Ltd.,18.65,18.4,0.25,1.36,2943000,1925000,0.5291
12/4/20,Debock Sales and Marketing Ltd.,20.5,19.65,0.85,4.33,18000,12000,0.5
12/4/20,Dewan Housing Finance Corporation Ltd.,32.8,31.25,1.55,4.96,25059000,373000,66.0329
12/4/20,Dhunseri Investments,260.95,254.95,6,2.35,8046,1535,4.2417
12/4/20,Dhunseri Ventures Ltd.,68.9,67.45,1.45,2.15,43510,21552,1.0188
12/4/20,Digicontent Ltd.,11.3,11.15,0.15,1.35,73006,29803,1.4496
12/4/20,Dilip Buildcon,405.35,381.25,24.1,6.32,1144000,508000,1.2499
12/4/20,DLF Ltd.,211.3,203,8.3,4.09,21352000,14752000,0.4474
12/4/20,Dolat Investments Ltd.,48.45,47,1.45,3.09,202000,99765,1.0329
12/4/20,Donear Industries Ltd.,35.4,31.9,3.5,10.97,1781000,426000,3.1781
12/4/20,DQ Entertainment International,1.15,1.1,0.05,4.55,157000,36744,3.2735
12/4/20,DRS Dilip Roadlines Ltd.,74.9,69.1,5.8,8.39,6400,1600,3
12/4/20,Ducon Infratechnologies Ltd.,5.05,4.85,0.2,4.12,212000,99368,1.1431
12/4/20,Edelweiss Financial Services Ltd.,81.9,78,3.9,5,5475000,3226000,0.6967
12/4/20,Eimco Elecon (India),344.9,334.2,10.7,3.2,5596,1967,1.8449
12/4/20,Emami Realty Ltd.,52.55,50.95,1.6,3.14,91796,30375,2.0221
12/4/20,Emco Ltd.,1.35,1.3,0.05,3.85,8686,4996,0.7386
12/4/20,Emkay Taps & Cutting Tools Ltd.,73.85,70.35,3.5,4.98,1200,600,1
12/4/20,Emmbi Industries,80.05,76.1,3.95,5.19,204000,41371,3.9455
12/4/20,Engineers India Ltd.,76.2,75.25,0.95,1.26,3508000,2579000,0.3604
12/4/20,Entertainment Network India Ltd.,162.4,155.85,6.55,4.2,67826,10284,5.5953
12/4/20,Eros International Media Ltd.,22.95,21.9,1.05,4.79,506000,113000,3.4767
12/4/20,Essar Shipping,9.3,8.9,0.4,4.49,98317,58140,0.691
