Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
1-Dec-20,Shemaroo Entertainment,62.9,57.2,5.7,9.97,193000,32695,4.9092
1-Dec-20,Shipping Corporation of India Ltd.,59.55,56,3.55,6.34,5157000,1544000,2.3389
1-Dec-20,Shiva Mills Ltd.,26.7,25.8,0.9,3.49,5551,3789,0.465
1-Dec-20,Shree Digvijay Cement Company Ltd.,61.3,59.9,1.4,2.34,935000,717000,0.3026
1-Dec-20,Shree Rama Newsprint,14.25,13.35,0.9,6.74,182000,44715,3.0765
1-Dec-20,Shreyans Industries,82.8,78.3,4.5,5.75,240000,170000,0.4147
1-Dec-20,Shriram EPC Ltd.,3.5,3.45,0.05,1.45,321000,118000,1.7096
1-Dec-20,Shriram Pistons & Rings Ltd.,604.7,592.9,11.8,1.99,584,207,1.8213
1-Dec-20,Shyam Century Ferrous Ltd.,4,3.9,0.1,2.56,92059,33214,1.7717
1-Dec-20,Sicagen India,13.15,12.6,0.55,4.37,35759,28048,0.2749
1-Dec-20,Silver Touch Technologies Ltd.,98,91,7,7.69,26000,1000,25
1-Dec-20,Simplex Infrastructures Ltd.,35.1,31.95,3.15,9.86,351000,89280,2.9422
1-Dec-20,Sintex Industries Ltd.,3.35,3.2,0.15,4.69,1973000,1384000,0.4253
1-Dec-20,Siyaram Silk Mills,170.2,161.3,8.9,5.52,449000,147000,2.0543
1-Dec-20,Skipper Ltd.,56.45,55.35,1.1,1.99,169000,56868,1.9875
1-Dec-20,SMS Pharmaceuticals,92.45,88.35,4.1,4.64,364000,166000,1.1854
1-Dec-20,Sobha Ltd.,316.85,310.95,5.9,1.9,391000,264000,0.4808
1-Dec-20,Soma Textiles and Industries,3.45,3.25,0.2,6.15,55362,16554,2.3443
1-Dec-20,Somany Home Innovation Ltd.,122.65,116.65,6,5.14,450000,331000,0.3569
1-Dec-20,Somi Conveyor Beltings,21.7,21.4,0.3,1.4,25381,13100,0.9375
1-Dec-20,South Indian Bank Ltd.,7.9,7.55,0.35,4.64,25973000,19507000,0.3315
1-Dec-20,Sovereign Gold Bonds 2.50% July 2027 Sr - II Ltd.,4899.99,4839,60.99,1.26,10,1,9
1-Dec-20,Spicejet Ltd.,74.05,71.5,2.55,3.57,8439000,5775000,0.4614
1-Dec-20,SPML Infra,8.25,8.15,0.1,1.23,35105,24342,0.4422
1-Dec-20,Sreeleathers Ltd.,155,144.9,10.1,6.97,50282,15612,2.2207
1-Dec-20,Sri Adhikari Brothers Television,1.55,1.5,0.05,3.33,27472,6499,3.2271
1-Dec-20,Srikalahasthi Pipes Ltd.,142.95,132,10.95,8.3,871000,144000,5.0365
1-Dec-20,Star Paper Mills,96.35,93.8,2.55,2.72,126000,79379,0.5969
1-Dec-20,Steel Strips Wheels,503.7,495.7,8,1.61,39901,20980,0.9019
1-Dec-20,STEL Holdings,62.4,61.05,1.35,2.21,18792,5825,2.2261
1-Dec-20,Sterling And Wilson Solar Ltd.,227.25,222.45,4.8,2.16,447000,155000,1.8676
1-Dec-20,Sterling Tools,192.65,187.85,4.8,2.56,47742,19460,1.4533
1-Dec-20,Subex Ltd.,16.95,16.35,0.6,3.67,15329000,11657000,0.315
1-Dec-20,Sun Pharma Advanced Resea,185.2,181.7,3.5,1.93,2217000,1597000,0.3883
1-Dec-20,Sun Pharmaceutical Industries Ltd.,539.35,511.65,27.7,5.41,25388000,12954000,0.9599
1-Dec-20,Sundaram Multi Pap,1.35,1.25,0.1,8,681000,122000,4.546
1-Dec-20,Sundaram-Clayton,1895.6,1814.9,80.7,4.45,8283,3844,1.1548
1-Dec-20,Sundram Fasteners Ltd.,544.55,521.55,23,4.41,792000,623000,0.2705
1-Dec-20,Sunteck Realty Ltd.,326.85,314.95,11.9,3.78,1196000,659000,0.8147
1-Dec-20,Super Spinning Mills,4.75,4.55,0.2,4.4,29552,23216,0.2729
1-Dec-20,Supreme Engineering Ltd.,22.75,22.3,0.45,2.02,12000,4000,2
1-Dec-20,SUVEN LIFE SCIENCES LTD,47.8,46.45,1.35,2.91,629000,515000,0.2211
1-Dec-20,Suzlon Energy Ltd.,3.5,3.45,0.05,1.45,19249000,4389000,3.3856
1-Dec-20,Swelect Energy Systems,157.2,149.75,7.45,4.97,36772,16575,1.2185
1-Dec-20,Take Solutions Limited,44.55,40.5,4.05,10,9734000,3544000,1.7461
1-Dec-20,Tamil Nadu Newsprint & Papers Ltd.,112.15,110.9,1.25,1.13,128000,78617,0.6307
1-Dec-20,Tamilnadu Petroproducts Ltd.,40.45,39.9,0.55,1.38,283000,224000,0.2618
1-Dec-20,Tata Coffee Ltd.,105.25,103.25,2,1.94,4831000,529000,8.1246
1-Dec-20,Tata Metaliks Ltd.,620.85,538.95,81.9,15.2,744000,120000,5.2017
1-Dec-20,Tata Power Co. Ltd.,68.85,64.9,3.95,6.09,70704000,56608000,0.249
1-Dec-20,TCI Express Ltd.,873.55,806.45,67.1,8.32,66472,9363,6.0994
1-Dec-20,Techindia Nirman Ltd.,2.75,2.7,0.05,1.85,1533,505,2.0356
1-Dec-20,Technocraft Industries (India),311.8,301.6,10.2,3.38,32049,21369,0.4998
1-Dec-20,TGB Banquets and Hotels,5.1,4.9,0.2,4.08,37811,3602,9.4972
1-Dec-20,Thangamayil Jewellery,450.05,444.8,5.25,1.18,103000,27766,2.7323
